candidate_id,donation,state
9,2000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2000.00,MD
9,2500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,3000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2000.00,MD
9,1000.00,MD
9,1500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,500.00,MD
9,500.00,MD
9,1000.00,MD
9,3800.00,MD
9,2500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2000.00,MD
9,2000.00,MD
9,1000.00,MD
9,10.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,3000.00,MD
9,1000.00,MD
9,1000.00,MD
9,500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,500.00,MD
9,1000.00,MD
9,500.00,MD
9,-1000.00,MD
9,2000.00,MD
9,500.00,MD
9,1500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2500.00,MD
9,1000.00,MD
9,1000.00,MD
9,5000.00,MD
9,2500.00,MD
9,1000.00,MD
9,1500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1100.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2000.00,MD
9,2000.00,MD
9,1000.00,MD
9,1000.00,MD
9,5000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1500.00,MD
9,5000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2000.00,MD
9,1000.00,MD
9,2500.00,MD
9,1000.00,MD
9,1000.00,MD
9,500.00,MD
9,2000.00,MD
9,1000.00,MD
9,250.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2000.00,MD
9,2500.00,MD
9,1000.00,MD
9,2500.00,MD
9,2000.00,MD
9,1000.00,MD
9,2500.00,MD
9,445.00,MD
9,1500.00,MD
9,1000.00,MD
9,2500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2000.00,MD
9,1000.00,MD
9,2000.00,MD
9,5000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,5000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,2500.00,MD
9,500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
9,1200.00,MD
9,1000.00,MD
9,1000.00,MD
9,4000.00,MD
9,1000.00,MD
9,1000.00,MD
9,3000.00,MD
9,1000.00,MD
9,2500.00,MD
9,2500.00,MD
9,1000.00,MD
9,1000.00,MD
9,1000.00,MD
10,765.00,MD
10,2181.00,MD
10,2220.00,MD
11,1000.00,FL
11,5000.00,FL
11,2500.00,FL
11,2000.00,FL
11,1000.00,FL
11,1000.00,FL
11,1000.00,FL
11,1000.00,FL
